frame,stamp,infer_ms,n_det,max_conf,classes
1,122.793,191.63,1,0.899,person
2,122.826,74.28,1,0.899,person
3,122.859,102.66,1,0.899,person
4,122.892,44.67,1,0.899,person
5,122.925,49.69,1,0.899,person
6,122.958,48.36,1,0.899,person
7,122.991,65.36,1,0.899,person
8,123.024,56.31,1,0.899,person
9,123.057,77.74,1,0.899,person
10,123.090,43.06,1,0.899,person
11,123.123,50.16,1,0.899,person
12,123.156,46.97,1,0.899,person
13,123.189,45.85,1,0.899,person
14,123.222,61.24,1,0.899,person
15,123.255,113.79,1,0.899,person
16,123.288,42.14,1,0.899,person
17,123.321,144.89,1,0.899,person
18,123.354,135.22,1,0.899,person
19,123.387,68.24,1,0.899,person
20,123.420,59.11,1,0.899,person
21,123.453,81.75,1,0.899,person
22,123.486,75.52,1,0.899,person
23,123.519,258.41,1,0.899,person
24,123.552,48.58,1,0.899,person
25,123.585,44.30,1,0.899,person
26,123.618,119.17,1,0.899,person
27,123.651,47.91,1,0.899,person
